"paint_id","brand","line","name","url_column","current_url","current_http_status","current_check_method","current_error","suggested_url","suggested_http_status","suggested_check_method","update_status","update_error"
"af41dd7c-19fd-421b-918d-376e87144a2c","Vallejo","Model Air","US Desert Arm. 686","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_122_us_desert_arm_686.png","200","HEAD","","","","","not-applied",""
"defbed8c-1795-46a5-acd4-6dc8088496ee","Vallejo","Model Air","US Desert Sand","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_140_us_desert_sand.png","200","HEAD","","","","","not-applied",""
"89f846c2-a6f7-4a1e-855c-62484b0a832f","Vallejo","Model Air","US Earth Brown","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_290_us_earth_brown.png","200","HEAD","","","","","not-applied",""
"8734b39b-9420-446e-8002-a83bea5238c1","Vallejo","Model Air","US Earth Red","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_293_us_earth_red.png","200","HEAD","","","","","not-applied",""
"d0c288e4-f3fe-4997-a959-8ff886a7114e","Vallejo","Model Air","US Earth Yellow","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_291_us_earth_yellow.png","200","HEAD","","","","","not-applied",""
"5228ecc7-5448-48d2-827d-cc5db422b9af","Vallejo","Model Air","US Field Drab","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_139_us_field_drab.png","200","HEAD","","","","","not-applied",""
"14e43c9a-f039-49d1-a2d1-e0012a99b666","Vallejo","Model Air","US Forest Green","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_294_us_forest_green.png","200","HEAD","","","","","not-applied",""
"5096a112-6042-42fa-bb07-168fad1ec62a","Vallejo","Model Air","US Interior Yellow","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_107_us_interior_yellow.png","200","HEAD","","","","","not-applied",""
"1db47327-6f7b-4dcb-8877-8463455d2b11","Vallejo","Model Air","US Light Green","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_137_us_light_green.png","200","HEAD","","","","","not-applied",""
"58363edc-5753-4165-ab41-a2ca25fd824b","Vallejo","Model Air","US Loam","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_292_us_loam.png","200","HEAD","","","","","not-applied",""
"94ec3148-2149-4cc7-8115-dd98b6549e75","Vallejo","Model Air","US Olive Drab","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_043_us_olive_drab.png","200","HEAD","","","","","not-applied",""
"b599c243-c430-483c-93a5-4ddcfa0a0361","Vallejo","Model Air","US Sand","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_138_us_sand.png","200","HEAD","","","","","not-applied",""
"6cb13fac-97b7-4264-8c3c-e2a7e8121ae4","Vallejo","Model Air","USA Flat Brown","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_026_usa_flat_brown.png","200","HEAD","","","","","not-applied",""
"c141632e-e5e9-4ceb-b53f-9b5a0d59c10b","Vallejo","Model Air","USAAF Light Gray","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_296_usaaf_light_gray.png","200","HEAD","","","","","not-applied",""
"f961b723-8292-425a-a6ed-91ae56f3b8b1","Vallejo","Model Air","USAF Brown","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_125_usaf_brown.png","200","HEAD","","","","","not-applied",""
"af50d3fe-4a12-44ab-8796-ace754518f18","Vallejo","Model Air","USAF Green","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_124_usaf_green.png","200","HEAD","","","","","not-applied",""
"1c4cf7d7-5085-40fd-a9a5-1965570610ff","Vallejo","Model Air","USAF Light Blue","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_111_usaf_light_blue.png","200","HEAD","","","","","not-applied",""
"6028c233-4926-417f-8264-c6d7c7ea8f36","Vallejo","Model Air","USAF Light Gray","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_276_usaf_light_gray.png","200","HEAD","","","","","not-applied",""
